id,note,direction,left_edge_offset,right_edge_offset
88,말하는 섬의 동굴 2층,0,0,0
89,말하는 섬의 동굴 2층,1,0,0
92,Pagos Room,0,0,1
93,Pagos Room,1,0,0
339,Kent Castle,0,-1,0
442,Windawood,0,0,0
443,Dwarf Castle,1,0,1
444,SKT,1,0,0
446,SKT,1,0,0
447,SKT,0,0,0
448,SKT,0,0,0
766,Orcish Forest,1,0,0
767,Orcish Forest,0,0,0
768,Orcish Forest,1,0,0
845,SKT,0,0,0
1010,SKT,0,0,0
1327,Giran,1,0,0
1329,Giran,0,0,0
1330,Giran,1,0,0
1331,Giran,0,0,0
1332,Giran,1,0,0
1333,Giran,0,0,0
1334,Giran,0,0,0
1336,Giran Castle,0,-1,0
1338,Giran Castle,1,0,1
1341,Orcish Forest,0,0,0
1342,Giran,1,0,1
1347,Giran,0,0,0
1348,Giran,0,0,0
1349,Giran,0,0,0
1350,Giran,0,0,0
1351,Giran,1,0,0
1352,Giran,0,0,0
1371,Giran,1,0,0
1373,Giran,0,0,0
1487,Giran Dog Race,1,0,0
1664,Heine,1,0,0
1665,Heine,0,0,0
1688,Heine,1,0,0
1689,Heine,0,0,0
1690,Heine,0,0,0
1691,Heine,0,0,0
1692,Heine,1,0,0
1700,Heine,0,0,0
1734,Heine,1,0,0
1735,Heine,0,0,0
1736,Heine,0,0,0
1737,Heine,1,0,0
1738,Heine,0,0,0
1739,Heine,1,0,0
1740,Heine,0,0,0
1741,Heine,1,0,0
1743,Heine,0,0,0
1744,Heine,1,0,0
1745,Heine Castle,0,-2,0
1750,Heine,1,0,0
1751,Heine,0,0,0
1826,Dwarf Castle,1,-2,1
1827,Dwarf Castle,0,-1,2
2083,Hidden Valley,0,0,0
2089,Hidden Valley,1,0,0
2114,Hidden Valley,0,0,0
2128,Hidden Valley,1,0,0
2160,Oren,0,0,0
2161,Oren,0,0,0
2162,Oren,1,0,0
2163,Oren,0,0,0
2164,Oren,0,0,0
2190,Oren,0,0,0
2191,Oren,1,0,0
2301,Talking Island,0,0,0
2303,Talking Island,0,0,0
2304,Talking Island,0,0,0
2305,Talking Island,0,0,0
2306,Talking Island,0,0,0
2344,Talking Island,1,-364,-364
2345,Talking Island,0,0,0
2346,Talking Island,0,0,0
2510,race,1,-3,4
2556,Aden,1,0,0
2558,Aden,0,0,0
2574,Aden,1,0,0
2575,Aden,0,0,0
2578,Aden,0,0,0
2579,Aden,0,0,0
2580,Aden,1,0,0
2581,Aden,0,0,0
2582,Aden,0,0,0
2583,Aden,1,0,0
2584,Aden,1,0,0
2585,Aden,0,0,0
2588,Aden,1,0,0
2589,Aden,1,0,0
2590,Aden,0,0,0
2591,Aden,0,0,0
2596,Aden,1,0,0
2597,Aden,0,0,0
2598,Aden,0,0,0
2599,Aden,1,0,0
2600,Aden,1,0,0
2602,Aden,1,0,0
2603,Aden,0,0,0
2605,Aden,0,0,0
2606,Aden,1,0,0
2608,Aden,0,0,0
2610,Aden,1,0,0
2628,Aden,1,0,0
2629,Aden,1,0,0
2630,Aden,0,0,0
2631,Aden,0,0,0
2634,Aden,0,0,0
2635,Aden,0,0,0
2732,OT Castle,0,-1,2
2736,Kent Castle,1,-2,1
2744,Giran Castle,0,0,3
2745,Giran Castle,0,-1,2
2746,Giran Castle,1,-2,1
3234,Kent Castle,0,-2,1
6026,Gludio,0,0,0
6027,Gludio,1,0,0
6028,Gludio,1,0,0
6029,Gludio,0,0,1
6030,Gludio,0,0,1
6031,Gludio,1,0,0
6032,Gludio,0,0,0
6033,Gludio,1,0,0
6336,Haunted House,0,-1,1
6351,Haunted House,1,-3,3
6379,Haunted House,1,0,2
6640,얼음 수정 동굴 1층,1,-1,3
6642,얼음 수정 동굴 2층,0,-2,2
6677,race,1,-3,4
6692,Death match,0,0,1
6694,Death match,1,-1,0
7536,Hardin Quest,0,0,0
7556,안타라스 동굴1,1,-2,2
7858,파푸리온 동굴1,0,-2,2
7859,파푸리온 동굴2,1,-2,2
8044,린도비오루 동굴L,1,-2,2
8038,린도비오루 동굴R,0,-2,2
